id,latitude,longitude,name,city,country
3517,41.253053,-70.060181,Nantucket Mem,Nantucket,United States
3520,38.852083,-77.037722,Ronald Reagan Washington Natl,Washington,United States
3524,39.457583,-74.577167,Atlantic City Intl,Atlantic City,United States
3527,38.289085,-104.496572,Pueblo Memorial,Pueblo,United States
3528,46.688958,-68.044797,Northern Maine Rgnl At Presque Isle,Presque Isle,United States
3531,57.749967,-152.493856,Kodiak,Kodiak,United States
3533,26.072583,-80.15275,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States
3535,48.566186,-93.403067,Falls Intl,International Falls,United States
3536,40.788389,-111.977772,Salt Lake City Intl,Salt Lake City,United States
3542,40.193494,-76.763403,Harrisburg Intl,Harrisburg,United States
3543,40.850971,-96.75925,Lincoln,Lincoln,United States
3544,42.7787,-84.587357,Capital City,Lansing,United States
3545,20.001328,-155.668108,Waimea Kohala,Kamuela,United States
3546,44.935833,-74.845547,Massena Intl Richards Fld,Massena,United States
3550,29.984433,-95.341442,George Bush Intercontinental,Houston,United States
3558,35.433598,-119.05677,Meadows Fld,Bakersfield,United States
3559,31.80725,-106.377583,El Paso Intl,El Paso,United States
3560,26.2285,-97.654389,Valley Intl,Harlingen,United States
3561,33.938833,-81.119528,Columbia Metropolitan,Columbia,United States
3564,30.473425,-87.186611,Pensacola Rgnl,Pensacola,United States
3566,29.645419,-95.278889,William P Hobby,Houston,United States
3570,40.491467,-80.232872,Pittsburgh Intl,Pittsburgh,United States
3571,71.285446,-156.766003,Wiley Post Will Rogers Mem,Barrow,United States
3576,25.79325,-80.290556,Miami Intl,Miami,United States
3577,47.449,-122.309306,Seattle Tacoma Intl,Seattle,United States
3578,35.035278,-85.203808,Lovell Fld,Chattanooga,United States
3580,32.311167,-90.075889,Jackson Evers Intl,Jackson,United States
3582,33.817722,-118.151611,Long Beach,Long Beach,United States
3584,41.241836,-76.921094,Williamsport Rgnl,Williamsport,United States
3585,39.717331,-86.294383,Indianapolis Intl,Indianapolis,United States
3589,41.066959,-73.707575,Westchester Co,White Plains,United States
3591,35.831708,-90.646417,Jonesboro Muni,Jonesboro,United States
3596,32.656578,-114.60598,Yuma Mcas Yuma Intl,Yuma,United States
3597,32.337472,-104.263278,Cavern City Air Terminal,Carlsbad,United States
3598,46.842091,-92.193649,Duluth Intl,Duluth,United States
3599,60.779778,-161.838,Bethel,Bethel,United States
3602,21.975983,-159.338958,Lihue,Lihue,United States
3604,48.542983,-109.762342,Havre City Co,Havre,United States
3608,37.505167,-77.319667,Richmond Intl,Richmond,United States
3609,32.446629,-93.8256,Shreveport Rgnl,Shreveport,United States
3610,60.491778,-145.477556,Merle K Mudhole Smith,Cordova,United States
3611,36.894611,-76.201222,Norfolk Intl,Norfolk,United States
3612,29.950833,-94.020694,Southeast Texas Rgnl,Beaumont,United States
3613,32.127583,-81.202139,Savannah Hilton Head Intl,Savannah,United States
3615,64.512203,-165.445247,Nome,Nome,United States
3616,45.771028,-122.861833,Scappoose Industrial Airpark,San Luis,United States
3617,27.910167,-82.687389,St Petersburg Clearwater Intl,St. Petersburg,United States
3620,70.19475,-148.465167,Deadhorse,Deadhorse,United States
